Rep	Year	RepSeason	x	y	Species	NInd	Nfemales_stage1	Nmales_stage1	NJuvFemales	NJuvMales
0	1	0	12	12	0	8	3	5	5	9
0	1	0	13	12	0	10	3	7	10	9
0	1	0	14	12	0	11	9	2	32	33
0	1	0	15	12	0	12	7	5	16	18
0	1	0	16	12	0	13	4	9	12	11
0	1	0	17	12	0	14	9	5	28	32
0	1	0	18	12	0	8	4	4	15	15
0	1	0	19	12	0	14	9	5	30	28
0	1	0	0	11	0	16	8	8	28	15
0	1	0	1	11	0	16	8	8	31	23
0	1	0	2	11	0	9	5	4	12	12
0	1	0	3	11	0	12	4	8	9	10
0	1	0	4	11	0	10	5	5	15	13
0	1	0	5	11	0	14	8	6	28	21
0	1	0	6	11	0	13	5	8	15	13
0	1	0	7	11	0	12	7	5	13	27
0	1	0	8	11	0	7	6	1	18	16
0	1	0	9	11	0	14	6	8	29	13
0	1	0	10	11	0	13	7	6	20	35
0	1	0	11	11	0	6	4	2	10	12
0	1	0	12	11	0	9	4	5	19	13
0	1	0	13	11	0	11	4	7	12	12
0	1	0	14	11	0	16	9	7	34	27
0	1	0	15	11	0	12	6	6	8	17
0	1	0	16	11	0	16	8	8	26	14
0	1	0	17	11	0	16	8	8	23	23
0	1	0	18	11	0	21	11	10	34	29
0	1	0	19	11	0	13	8	5	22	16
0	1	0	0	10	0	16	7	9	23	17
0	1	0	1	10	0	14	6	8	18	22
0	1	0	2	10	0	16	9	7	31	41
0	1	0	3	10	0	8	3	5	12	11
0	1	0	4	10	0	4	0	4	0	0
0	1	0	5	10	0	20	10	10	31	44
0	1	0	6	10	0	16	5	11	7	12
0	1	0	7	10	0	6	2	4	8	8
0	1	0	8	10	0	9	7	2	18	19
0	1	0	9	10	0	8	3	5	10	10
0	1	0	10	10	0	12	7	5	11	22
0	1	0	11	10	0	10	5	5	12	15
0	1	0	12	10	0	12	2	10	6	8
0	1	0	13	10	0	14	5	9	9	11
0	1	0	14	10	0	11	8	3	19	27
0	1	0	15	10	0	11	4	7	8	15
0	1	0	16	10	0	12	4	8	12	10
0	1	0	17	10	0	12	7	5	13	26
0	1	0	18	10	0	4	2	2	7	3
0	1	0	19	10	0	8	5	3	19	17
0	1	0	0	9	0	14	7	7	19	25
0	1	0	1	9	0	13	7	6	30	22
0	1	0	2	9	0	11	4	7	16	14
0	1	0	3	9	0	7	3	4	5	7
0	1	0	4	9	0	15	6	9	16	16
0	1	0	5	9	0	5	1	4	3	1
0	1	0	6	9	0	7	4	3	13	14
0	1	0	7	9	0	11	6	5	21	20
0	1	0	8	9	0	15	8	7	31	31
0	1	0	9	9	0	10	4	6	6	11
0	1	0	10	9	0	12	5	7	15	16
0	1	0	11	9	0	19	9	10	32	28
0	1	0	12	9	0	15	6	9	12	15
0	1	0	13	9	0	6	4	2	7	8
0	1	0	14	9	0	11	5	6	21	12
0	1	0	15	9	0	9	5	4	11	10
0	1	0	16	9	0	14	7	7	20	26
0	1	0	17	9	0	15	8	7	21	16
0	1	0	18	9	0	12	6	6	18	19
0	1	0	19	9	0	13	6	7	18	22
0	1	0	0	8	0	14	8	6	22	24
0	1	0	1	8	0	11	6	5	19	23
0	1	0	2	8	0	7	3	4	6	5
0	1	0	3	8	0	16	6	10	22	18
0	1	0	4	8	0	16	10	6	36	44
0	1	0	5	8	0	18	8	10	20	16
0	1	0	6	8	0	11	5	6	9	18
0	1	0	7	8	0	8	4	4	12	11
0	1	0	8	8	0	18	8	10	28	19
0	1	0	9	8	0	16	8	8	25	22
0	1	0	10	8	0	14	6	8	17	13
0	1	0	11	8	0	11	2	9	14	5
0	1	0	12	8	0	12	9	3	30	26
0	1	0	13	8	0	8	3	5	3	2
0	1	0	14	8	0	14	8	6	32	26
0	1	0	15	8	0	10	6	4	10	24
